,ds,Year,Month,y,Barnet Vale,Burnt Oak,Childs Hill,Colindale North,Colindale South,Cricklewood,East Barnet,East Finchley,Edgware,Edgwarebury,Finchley Church End,Friern Barnet,Garden Suburb,Golders Green,Hendon,High Barnet,Mill Hill,Totteridge and Woodside,Underhill,West Finchley,West Hendon,Whetstone,Woodhouse,Brunswick Park
0,2011-01,2011,1,390,18,12,18,7,4,15,15,16,12,10,19,20,21,25,28,19,25,19,12,19,12,13,17,14
1,2011-02,2011,2,351,16,9,14,7,3,15,12,12,13,13,26,25,16,21,29,12,15,12,5,15,15,13,15,18
2,2011-03,2011,3,333,13,4,23,12,4,16,12,9,4,8,23,17,14,27,31,14,20,12,16,13,9,16,4,12
3,2011-04,2011,4,331,20,7,16,7,2,20,14,7,13,5,17,18,16,22,27,17,13,18,9,15,11,15,11,11
4,2011-05,2011,5,361,18,16,26,7,4,13,19,11,16,10,16,24,13,21,15,16,15,16,10,14,11,11,15,24
5,2011-06,2011,6,323,14,12,28,8,6,15,16,10,20,7,16,14,11,26,18,11,20,14,9,13,5,5,11,14
6,2011-07,2011,7,335,14,7,18,9,7,15,14,16,17,10,17,22,12,25,22,10,20,7,11,15,12,9,17,9
7,2011-08,2011,8,299,10,9,24,5,6,6,11,6,24,11,19,11,10,19,32,9,15,11,3,19,6,11,13,9
8,2011-09,2011,9,255,13,8,15,6,4,11,18,6,20,4,11,8,6,18,23,16,18,8,5,9,9,6,7,6
9,2011-10,2011,10,333,14,9,17,5,8,14,22,13,20,4,21,16,13,15,21,14,18,19,8,11,11,10,12,18
10,2011-11,2011,11,361,20,7,21,5,6,14,10,15,19,12,17,20,11,11,19,15,21,16,10,25,13,20,13,21
11,2011-12,2011,12,436,18,12,24,8,8,21,20,20,27,18,18,38,14,16,19,21,21,14,15,13,27,11,16,17
12,2012-01,2012,1,435,18,17,26,8,8,10,26,12,33,18,21,25,23,21,26,22,21,8,10,21,12,13,19,17
13,2012-02,2012,2,415,15,13,27,2,3,13,29,12,22,16,21,23,6,21,26,22,15,19,9,29,17,14,15,26
14,2012-03,2012,3,431,25,11,23,11,5,5,24,13,13,4,16,30,19,28,12,22,29,18,9,34,13,15,27,25
15,2012-04,2012,4,298,14,4,19,8,3,8,15,16,15,6,13,25,6,9,15,6,15,8,10,13,15,15,21,19
16,2012-05,2012,5,348,16,15,19,6,6,11,26,16,12,5,22,20,13,25,24,7,12,7,8,18,19,10,14,17
17,2012-06,2012,6,433,22,10,30,2,4,11,32,16,24,12,30,17,12,20,17,25,19,13,20,21,16,19,27,14
18,2012-07,2012,7,334,12,13,23,7,3,8,22,6,16,8,18,19,20,21,17,16,23,13,8,16,12,12,11,10
19,2012-08,2012,8,392,16,11,26,7,5,7,19,23,42,14,22,27,8,18,31,16,9,2,9,14,14,21,21,10
20,2012-09,2012,9,347,8,6,11,7,6,7,13,19,20,10,31,25,13,16,34,12,16,6,4,16,24,15,17,11
21,2012-10,2012,10,459,20,17,21,11,11,9,25,15,28,6,25,25,17,29,37,13,32,9,8,21,26,15,20,19
22,2012-11,2012,11,536,24,20,38,10,7,18,28,22,19,14,22,35,19,35,28,12,27,15,8,27,18,28,34,28
23,2012-12,2012,12,367,35,9,15,5,6,14,25,9,22,8,10,21,16,22,30,7,17,14,8,20,13,11,14,16
24,2013-01,2013,1,463,34,16,27,9,10,13,20,12,26,9,28,36,9,29,29,10,34,17,10,24,12,9,12,28
25,2013-02,2013,2,395,26,12,14,10,6,13,21,13,18,6,34,19,13,17,34,14,20,8,8,18,21,9,19,22
26,2013-03,2013,3,395,21,22,28,18,9,12,19,8,16,11,24,19,10,28,18,16,19,5,17,8,19,15,17,16
27,2013-04,2013,4,353,6,14,22,16,9,5,17,12,14,15,16,18,8,27,31,9,20,11,13,11,19,7,13,20
28,2013-05,2013,5,337,17,11,18,9,3,11,14,7,20,11,20,14,15,17,26,15,25,8,14,21,19,5,7,10
29,2013-06,2013,6,271,11,6,18,14,2,18,9,6,9,3,6,9,6,17,27,23,18,7,5,13,13,10,11,10
30,2013-07,2013,7,299,13,27,22,13,2,5,10,14,22,12,11,16,5,10,16,14,14,8,8,16,15,8,10,8
31,2013-08,2013,8,272,8,15,17,9,4,6,6,2,15,10,20,22,8,14,18,15,15,9,4,11,13,7,11,13
32,2013-09,2013,9,295,11,18,16,6,3,10,14,9,14,12,11,15,4,15,28,14,9,10,6,13,24,13,12,8
33,2013-10,2013,10,325,25,7,15,11,10,6,16,23,13,3,12,22,21,18,22,16,8,3,7,8,13,11,11,24
34,2013-11,2013,11,393,27,12,27,8,10,19,17,16,13,9,35,23,4,14,17,18,20,14,4,12,11,16,15,32
35,2013-12,2013,12,436,29,19,24,9,4,14,20,17,28,3,39,22,21,8,26,8,31,17,6,12,21,19,9,30
36,2014-01,2014,1,317,19,20,14,11,4,7,15,11,16,5,19,13,9,8,20,12,16,16,6,21,20,14,6,15
37,2014-02,2014,2,292,12,13,20,4,2,8,15,9,11,9,18,25,7,11,26,11,14,12,2,12,7,20,4,20
38,2014-03,2014,3,328,12,22,24,13,3,14,14,17,13,9,19,21,8,22,14,6,15,14,6,11,11,8,15,17
39,2014-04,2014,4,312,10,19,20,7,7,20,13,15,20,6,19,16,13,13,22,12,11,11,6,9,7,10,13,13
40,2014-05,2014,5,254,18,12,19,8,3,4,10,7,10,5,21,9,8,11,14,15,16,7,9,9,11,8,10,10
41,2014-06,2014,6,230,7,7,19,5,7,8,9,9,6,3,13,14,19,12,16,11,13,7,6,7,8,8,4,12
42,2014-07,2014,7,265,6,10,22,12,3,10,15,9,7,5,10,19,19,14,20,12,10,6,9,11,13,5,7,11
43,2014-08,2014,8,273,18,13,18,6,2,12,20,12,13,7,14,18,11,11,7,15,13,9,2,10,10,12,6,14
44,2014-09,2014,9,294,17,16,28,6,2,8,21,15,18,6,19,8,7,13,12,9,7,9,10,9,9,16,8,21
45,2014-10,2014,10,314,16,10,21,7,2,11,16,9,11,6,23,15,13,13,16,13,16,15,4,17,18,12,11,19
46,2014-11,2014,11,364,19,14,23,10,3,16,17,11,17,16,19,18,14,14,23,11,21,17,2,15,14,13,14,23
47,2014-12,2014,12,312,15,9,19,2,9,17,10,21,11,8,17,15,11,12,28,12,21,13,7,14,14,6,4,17
48,2015-01,2015,1,356,15,10,27,9,8,17,17,14,8,7,31,10,22,13,27,13,13,14,14,13,12,12,11,19
49,2015-02,2015,2,304,15,8,32,7,4,6,14,17,5,11,35,9,10,17,18,9,12,13,3,15,9,9,6,20
50,2015-03,2015,3,303,15,14,18,4,5,17,8,14,11,7,24,14,12,15,19,8,21,7,4,11,21,12,9,13
51,2015-04,2015,4,284,5,15,21,13,4,14,6,6,16,14,17,10,13,27,19,9,15,5,3,12,17,4,11,8
52,2015-05,2015,5,295,11,17,28,8,9,10,11,7,11,16,21,12,5,17,15,15,20,7,12,10,12,15,2,4
53,2015-06,2015,6,250,13,18,19,5,6,8,9,7,6,7,17,8,6,12,27,8,13,9,2,11,10,13,10,6
54,2015-07,2015,7,255,8,7,23,6,9,3,7,7,17,10,16,13,12,13,22,6,16,7,9,10,9,7,12,6
55,2015-08,2015,8,250,13,14,9,10,3,11,6,8,14,9,27,12,10,12,21,4,18,1,9,15,7,5,4,8
56,2015-09,2015,9,287,15,17,14,10,3,6,18,12,14,5,19,19,5,14,28,3,14,6,7,4,19,8,11,16
57,2015-10,2015,10,366,27,12,14,6,2,8,25,14,10,6,23,11,11,10,28,22,31,17,10,21,21,11,11,15
58,2015-11,2015,11,431,20,18,28,4,4,15,12,26,20,9,33,18,17,16,34,11,29,16,11,19,26,10,13,22
59,2015-12,2015,12,328,23,16,25,13,6,14,13,12,16,6,29,11,7,16,17,13,17,12,5,12,23,5,7,10
60,2016-01,2016,1,375,20,14,17,17,7,9,9,18,16,13,20,17,31,20,27,11,16,15,7,12,19,12,19,9
61,2016-02,2016,2,324,17,15,27,17,4,10,11,12,19,5,18,17,20,22,14,8,12,8,7,14,15,9,9,14
62,2016-03,2016,3,312,13,10,16,10,3,11,19,7,13,5,13,17,7,10,34,15,13,11,6,18,27,12,4,18
63,2016-04,2016,4,236,11,9,15,5,1,5,12,14,16,5,14,6,9,13,14,10,8,4,6,17,19,9,5,9
64,2016-05,2016,5,265,8,6,15,9,6,13,12,8,11,3,18,13,3,17,15,16,16,4,6,10,24,10,9,13
65,2016-06,2016,6,234,9,8,14,10,4,8,8,8,11,3,18,14,10,5,10,7,13,11,3,11,20,10,9,10
66,2016-07,2016,7,224,10,8,8,12,3,8,7,6,6,4,20,16,8,6,14,7,11,6,5,8,16,7,15,13
67,2016-08,2016,8,299,14,11,29,11,6,8,8,16,12,11,19,14,7,12,19,7,19,17,3,5,13,8,19,11
68,2016-09,2016,9,213,13,6,12,12,4,4,5,4,12,5,17,20,9,9,9,3,7,8,6,13,13,7,5,10
69,2016-10,2016,10,229,10,12,9,5,0,7,17,6,13,6,11,11,8,13,19,10,10,9,7,12,12,6,5,11
70,2016-11,2016,11,345,10,25,24,9,5,11,9,10,19,14,18,18,8,19,22,10,15,14,13,15,19,16,10,12
71,2016-12,2016,12,278,22,23,13,7,5,12,8,4,14,5,15,15,11,13,17,13,6,11,12,13,10,8,16,5
72,2017-01,2017,1,287,11,15,18,7,2,8,11,5,15,7,22,14,8,20,29,12,11,9,13,13,12,6,6,13
73,2017-02,2017,2,277,18,10,14,5,3,13,6,11,11,17,17,12,4,15,14,12,17,8,12,17,15,6,8,12
74,2017-03,2017,3,336,6,14,31,12,3,12,9,8,21,13,23,18,10,17,19,7,31,11,6,10,24,14,11,6
75,2017-04,2017,4,256,5,24,12,10,9,9,6,7,25,6,12,12,11,9,15,6,17,10,4,11,13,4,10,9
76,2017-05,2017,5,223,17,9,19,6,4,5,10,10,10,4,10,13,10,12,15,4,9,4,5,9,9,7,12,10
77,2017-06,2017,6,243,5,8,9,9,3,3,10,13,8,5,17,8,18,13,19,4,19,22,8,8,14,9,4,7
78,2017-07,2017,7,284,9,18,15,13,6,9,9,6,10,12,25,13,9,15,18,8,20,7,7,15,10,10,8,12
79,2017-08,2017,8,309,9,13,24,14,5,17,13,11,22,9,16,13,10,17,16,12,14,11,11,8,13,8,10,13
80,2017-09,2017,9,259,14,10,26,7,11,11,10,10,14,6,15,15,9,8,7,9,10,11,11,12,11,7,9,6
81,2017-10,2017,10,304,11,12,25,6,4,8,10,9,16,10,27,10,17,17,14,15,16,9,8,11,16,6,13,14
82,2017-11,2017,11,389,24,15,18,3,5,8,17,17,20,9,25,19,6,21,33,18,12,13,6,17,19,23,21,20
83,2017-12,2017,12,323,14,9,22,5,5,8,6,4,16,7,13,15,16,30,28,17,14,13,11,19,15,12,9,15
84,2018-01,2018,1,328,11,8,18,10,1,6,20,7,16,11,26,14,10,23,17,24,26,14,14,13,14,7,4,14
85,2018-02,2018,2,292,8,10,18,11,2,14,17,13,19,8,12,17,6,10,21,15,10,17,3,12,21,10,10,8
86,2018-03,2018,3,319,14,10,20,11,3,14,19,7,21,8,13,7,11,16,24,13,22,14,4,18,19,6,11,14
87,2018-04,2018,4,317,6,11,25,14,4,8,14,13,13,5,32,17,6,26,16,10,16,15,4,16,14,8,14,10
88,2018-05,2018,5,302,12,8,11,13,4,11,9,24,9,9,35,15,7,17,19,12,12,9,2,13,17,9,12,13
89,2018-06,2018,6,269,7,5,21,11,4,7,9,9,21,11,18,12,12,11,27,10,14,6,3,12,10,5,10,14
90,2018-07,2018,7,274,11,5,15,13,3,16,8,9,10,6,21,17,16,9,18,8,10,8,14,16,14,3,11,13
91,2018-08,2018,8,275,8,9,27,6,3,10,12,8,15,10,19,5,22,9,20,10,12,9,10,14,17,8,7,5
92,2018-09,2018,9,243,6,9,19,8,0,12,7,7,16,10,16,10,8,12,35,6,6,9,5,8,10,5,9,10
93,2018-10,2018,10,366,12,15,24,8,5,16,13,21,15,14,15,19,10,18,26,16,16,22,14,18,11,8,13,17
94,2018-11,2018,11,375,5,12,35,6,2,14,14,14,23,11,21,27,20,14,27,15,11,15,10,18,17,17,13,14
95,2018-12,2018,12,290,6,18,18,6,5,11,11,13,12,14,17,12,18,17,25,7,12,14,13,6,13,5,11,6
96,2019-01,2019,1,315,8,23,12,8,5,16,11,4,16,12,25,14,15,19,16,7,14,15,13,8,8,16,13,17
